iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
AFG,Asia,Afghanistan,2020-06-11,22143,684,405,21,568.814,17.571,10.404,0.539,,,,,,,,,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
ALB,Europe,Albania,2020-06-11,1341,42,34,0,465.981,14.594,11.815,0.0,,,,,,,,,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
DZA,Africa,Algeria,2020-06-11,10484,102,732,8,239.082,2.326,16.693,0.182,,,,,,,,86.57,43851043.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
AND,Europe,Andorra,2020-06-11,852,0,51,0,11026.985,0.0,660.066,0.0,,,,,,,,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,
AGO,Africa,Angola,2020-06-11,113,17,4,0,3.438,0.517,0.122,0.0,,,,,,,,,32866268.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,
AIA,North America,Anguilla,2020-06-11,3,0,0,0,199.973,0.0,0.0,0.0,,,,,,,,,15002.0,,,,,,,,,,,,
ATG,North America,Antigua and Barbuda,2020-06-11,26,0,3,0,265.501,0.0,30.635,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8
ARG,South America,Argentina,2020-06-11,25987,1239,735,18,574.987,27.414,16.263,0.398,,,,,,,,,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0
ARM,Asia,Armenia,2020-06-11,14103,428,227,10,4759.327,144.437,76.605,3.375,,,,,,,,,2963234.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2
ABW,North America,Aruba,2020-06-11,101,0,3,0,945.994,0.0,28.099,0.0,,,,,,,,,106766.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
AUS,Oceania,Australia,2020-06-11,7276,9,102,0,285.335,0.353,4.0,0.0,1711223.0,31269.0,67.107,1.226,23556.0,0.924,tests performed,,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUT,Europe,Austria,2020-06-11,16936,34,673,1,1880.441,3.775,74.725,0.111,512501.0,6157.0,56.904,0.684,5862.0,0.651,tests performed,,9006400.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37
AZE,Asia,Azerbaijan,2020-06-11,8530,339,102,4,841.291,33.435,10.06,0.395,,,,,,,,,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7
BHS,North America,Bahamas,2020-06-11,103,0,11,0,261.921,0.0,27.972,0.0,,,,,,,,,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9
BHR,Asia,Bahrain,2020-06-11,16200,0,31,2,9520.546,0.0,18.218,1.175,393910.0,7776.0,231.496,4.57,6939.0,4.078,units unclear,75.0,1701583.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0
BGD,Asia,Bangladesh,2020-06-11,74865,3190,1012,37,454.583,19.37,6.145,0.225,457332.0,15772.0,2.777,0.096,14151.0,0.086,samples tested,,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8
BRB,North America,Barbados,2020-06-11,96,4,7,0,334.063,13.919,24.359,0.0,,,,,,,,,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8
BLR,Europe,Belarus,2020-06-11,51066,801,288,6,5404.198,84.768,30.478,0.635,,,,,,,,,9449321.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0
BEL,Europe,Belgium,2020-06-11,59569,132,9629,10,5139.86,11.39,830.83,0.863,,,,,,,,,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64
BLZ,North America,Belize,2020-06-11,19,0,2,0,47.784,0.0,5.03,0.0,,,,,,,,,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3
BEN,Africa,Benin,2020-06-11,305,0,4,0,25.158,0.0,0.33,0.0,,,,,,,,,12123198.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5
BMU,North America,Bermuda,2020-06-11,141,0,9,0,2264.224,0.0,144.525,0.0,,,,,,,,,62273.0,1308.82,,,,50669.315,,139.547,13.0,,,,
BTN,Asia,Bhutan,2020-06-11,62,3,0,0,80.351,3.888,0.0,0.0,,,,,,,,,771612.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7
BOL,South America,Bolivia,2020-06-11,15281,637,512,25,1309.086,54.57,43.862,2.142,,,,,,,,,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1
BES,North America,Bonaire Sint Eustatius and Saba,2020-06-11,7,0,0,0,266.962,0.0,0.0,0.0,,,,,,,,,26221.0,,,,,,,,,,,,
BIH,Europe,Bosnia and Herzegovina,2020-06-11,2776,49,160,1,846.131,14.935,48.768,0.305,,,,,,,,,3280815.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5
BWA,Africa,Botswana,2020-06-11,48,6,1,0,20.411,2.551,0.425,0.0,,,,,,,,,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8
BRA,South America,Brazil,2020-06-11,772416,32913,39680,1274,3633.883,154.841,186.677,5.994,,,,,,,,,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2
VGB,North America,British Virgin Islands,2020-06-11,8,0,1,0,264.577,0.0,33.072,0.0,,,,,,,,,30237.0,207.973,,,,,,,13.67,,,,
BRN,Asia,Brunei,2020-06-11,141,0,2,0,322.298,0.0,4.572,0.0,,,,,,,,,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7
BGR,Europe,Bulgaria,2020-06-11,2889,0,167,0,415.776,0.0,24.034,0.0,95820.0,2308.0,13.79,0.332,1427.0,0.205,tests performed,,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454
BFA,Africa,Burkina Faso,2020-06-11,891,0,53,0,42.625,0.0,2.535,0.0,,,,,,,,,20903278.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4
BDI,Africa,Burundi,2020-06-11,83,0,1,0,6.98,0.0,0.084,0.0,,,,,,,,,11890781.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8
KHM,Asia,Cambodia,2020-06-11,126,0,0,0,7.536,0.0,0.0,0.0,,,,,,,,,16718971.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8
CMR,Africa,Cameroon,2020-06-11,8681,0,208,0,327.019,0.0,7.835,0.0,,,,,,,,,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3
CAN,North America,Canada,2020-06-11,97114,472,7960,63,2573.091,12.506,210.905,1.669,1989179.0,33536.0,52.704,0.889,28830.0,0.764,people tested,,37742157.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5
CPV,Africa,Cape Verde,2020-06-11,615,30,5,0,1106.139,53.958,8.993,0.0,,,,,,,,,555988.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1
CYM,North America,Cayman Islands,2020-06-11,180,4,1,0,2738.892,60.864,15.216,0.0,,,,,,,,,65720.0,256.496,,,,49903.029,,,13.22,,,,
CAF,Africa,Central African Republic,2020-06-11,1952,64,6,1,404.161,13.251,1.242,0.207,,,,,,,,,4829764.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0
TCD,Africa,Chad,2020-06-11,846,2,72,1,51.504,0.122,4.383,0.061,,,,,,,,,16425859.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,
CHL,South America,Chile,2020-06-11,148496,5737,2475,192,7768.067,300.112,129.471,10.044,781043.0,19976.0,40.858,1.045,19181.0,1.003,tests performed,,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11
CHN,Asia,China,2020-06-11,84209,11,4638,0,58.506,0.008,3.222,0.0,,,,,,,,,1439323774.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
COL,South America,Colombia,2020-06-11,43682,1604,1433,61,858.481,31.523,28.163,1.199,,,,,,,,,50882884.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71
COM,Africa,Comoros,2020-06-11,162,0,2,0,186.294,0.0,2.3,0.0,,,,,,,,,869595.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2
COG,Africa,Congo,2020-06-11,745,17,25,1,135.01,3.081,4.531,0.181,,,,,,,,,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,
CRI,North America,Costa Rica,2020-06-11,1461,86,12,1,286.802,16.882,2.356,0.196,,,,,,,,,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13
CIV,Africa,Cote d'Ivoire,2020-06-11,4181,186,41,3,158.502,7.051,1.554,0.114,,,,,,,,,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,
HRV,Europe,Croatia,2020-06-11,2249,2,106,0,547.833,0.487,25.82,0.0,69606.0,257.0,16.955,0.063,230.0,0.056,people tested,,4105268.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54
CUB,North America,Cuba,2020-06-11,2211,6,83,0,195.204,0.53,7.328,0.0,,,,,,,,,11326616.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2
CUW,North America,Curacao,2020-06-11,21,0,1,0,127.971,0.0,6.094,0.0,,,,,,,,,164100.0,362.644,41.7,16.367,10.068,,,,11.62,,,,
CYP,Europe,Cyprus,2020-06-11,974,2,18,0,1112.0,2.283,20.55,0.0,,,,,,,,,875899.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4
CZE,Europe,Czech Republic,2020-06-11,9824,73,330,2,917.361,6.817,30.815,0.187,,,,,,,,,10708982.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63
COD,Africa,Democratic Republic of Congo,2020-06-11,4389,131,95,6,49.005,1.463,1.061,0.067,,,,,,,,,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,
DNK,Europe,Denmark,2020-06-11,12016,15,593,0,2074.513,2.59,102.379,0.0,,,,,,,,,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5
DJI,Africa,Djibouti,2020-06-11,4373,42,34,0,4426.104,42.51,34.413,0.0,,,,,,,,,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4
DMA,North America,Dominica,2020-06-11,18,0,0,0,250.031,0.0,0.0,0.0,,,,,,,,,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8
DOM,North America,Dominican Republic,2020-06-11,20808,393,550,6,1918.159,36.228,50.701,0.553,,,,,,,,78.7,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6
ECU,South America,Ecuador,2020-06-11,44440,523,3720,30,2518.837,29.643,210.848,1.7,,,,,,,,,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5
EGY,Africa,Egypt,2020-06-11,38284,1455,1342,36,374.107,14.218,13.114,0.352,,,,,,,,,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6
SLV,North America,El Salvador,2020-06-11,3274,83,64,4,504.764,12.796,9.867,0.617,,,,,,,,100.0,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3
GNQ,Africa,Equatorial Guinea,2020-06-11,1306,0,12,0,930.872,0.0,8.553,0.0,,,,,,,,,1402985.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1
ERI,Africa,Eritrea,2020-06-11,41,0,0,0,11.561,0.0,0.0,0.0,,,,,,,,93.52,3546427.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7
EST,Europe,Estonia,2020-06-11,1958,11,69,0,1476.021,8.292,52.015,0.0,,,,,,,,37.96,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69
ETH,Africa,Ethiopia,2020-06-11,2506,170,35,3,21.798,1.479,0.304,0.026,165151.0,6630.0,1.437,0.058,5608.0,0.049,tests performed,,114963583.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3
FRO,Europe,Faeroe Islands,2020-06-11,187,0,0,0,3826.87,0.0,0.0,0.0,,,,,,,,,48865.0,35.308,,,,,,,,,,,
FLK,South America,Falkland Islands,2020-06-11,13,0,0,0,3732.415,0.0,0.0,0.0,,,,,,,,,3483.0,,,,,,,,,,,,
FJI,Oceania,Fiji,2020-06-11,18,0,0,0,20.079,0.0,0.0,0.0,,,,,,,,,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3
FIN,Europe,Finland,2020-06-11,7040,15,324,0,1270.593,2.707,58.476,0.0,,,,,,,,,5540718.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28
FRA,Europe,France,2020-06-11,155136,545,29319,23,2376.707,8.349,449.171,0.352,,,,,,,,,65273512.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98
PYF,Oceania,French Polynesia,2020-06-11,60,0,0,0,213.596,0.0,0.0,0.0,,,,,,,,,280904.0,77.324,32.7,7.775,4.593,,,,22.63,,,,
GAB,Africa,Gabon,2020-06-11,3375,81,22,1,1516.358,36.393,9.884,0.449,,,,,,,,,2225728.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3
GMB,Africa,Gambia,2020-06-11,28,0,1,0,11.586,0.0,0.414,0.0,,,,,,,,,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1
GEO,Asia,Georgia,2020-06-11,827,9,13,0,207.311,2.256,3.259,0.0,,,,,,,,,3989175.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6
DEU,Europe,Germany,2020-06-11,185416,555,8755,26,2213.025,6.624,104.495,0.31,,,,,,,,,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0
GHA,Africa,Ghana,2020-06-11,10358,157,48,0,333.345,5.053,1.545,0.0,,,,,,,,,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9
GIB,Europe,Gibraltar,2020-06-11,176,0,0,0,5223.947,0.0,0.0,0.0,,,,,,,,,33691.0,3457.1,,,,,,,,,,,
GRC,Europe,Greece,2020-06-11,3068,10,183,0,294.347,0.959,17.557,0.0,237276.0,,22.765,,6192.0,0.594,tests performed,,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21
GRL,North America,Greenland,2020-06-11,13,0,0,0,228.986,0.0,0.0,0.0,,,,,,,,,56772.0,0.137,,,,,,199.941,2.16,,,,
GRD,North America,Grenada,2020-06-11,23,0,0,0,204.41,0.0,0.0,0.0,,,,,,,,,112519.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7
GUM,Oceania,Guam,2020-06-11,183,3,5,0,1084.232,17.774,29.624,0.0,,,,,,,,,168783.0,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,
GTM,North America,Guatemala,2020-06-11,8221,355,316,27,458.875,19.815,17.638,1.507,,,,,,,,,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6
GGY,Europe,Guernsey,2020-06-11,252,0,13,0,3758.277,0.0,193.879,0.0,,,,,,,,,67052.0,,,,,,,,,,,,
GIN,Africa,Guinea,2020-06-11,4258,0,23,0,324.227,0.0,1.751,0.0,,,,,,,,,13132792.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3
GNB,Africa,Guinea-Bissau,2020-06-11,1389,0,12,0,705.793,0.0,6.098,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,
GUY,South America,Guyana,2020-06-11,156,0,12,0,198.332,0.0,15.256,0.0,,,,,,,,,786559.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6
HTI,North America,Haiti,2020-06-11,3796,134,58,2,332.908,11.752,5.087,0.175,,,,,,,,,11402533.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7
HND,North America,Honduras,2020-06-11,7360,425,290,19,743.088,42.909,29.279,1.918,,,,,,,,,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7
HUN,Europe,Hungary,2020-06-11,4027,10,551,1,416.859,1.035,57.037,0.104,222247.0,4558.0,23.006,0.472,3765.0,0.39,tests performed,,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02
ISL,Europe,Iceland,2020-06-11,1807,0,10,0,5295.238,0.0,29.304,0.0,,,,,,,,,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91
IND,Asia,India,2020-06-11,286579,9996,8102,357,207.665,7.243,5.871,0.259,5213140.0,151808.0,3.778,0.11,138632.0,0.1,samples tested,,1380004385.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53
IDN,Asia,Indonesia,2020-06-11,34316,1240,1959,36,125.459,4.533,7.162,0.132,294671.0,7193.0,1.077,0.026,6134.0,0.022,people tested,,273523621.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04
IRN,Asia,Iran,2020-06-11,177938,2011,8506,81,2118.487,23.942,101.27,0.964,,,,,,,,,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5
IRQ,Asia,Iraq,2020-06-11,15414,1146,426,34,383.218,28.492,10.591,0.845,,,,,,,,,40222503.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4
IRL,Europe,Ireland,2020-06-11,25231,16,1695,4,5109.77,3.24,343.271,0.81,,,,,,,,,4937796.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96
IMN,Europe,Isle of Man,2020-06-11,336,0,24,0,3951.454,0.0,282.247,0.0,,,,,,,,,85032.0,147.872,,,,,,,,,,,
ISR,Asia,Israel,2020-06-11,18355,87,299,0,2120.607,10.051,34.544,0.0,,,,,,,,,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99
ITA,Europe,Italy,2020-06-11,235763,202,34114,71,3899.369,3.341,564.224,1.174,4443821.0,62472.0,73.498,1.033,56325.0,0.932,tests performed,,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18
JAM,North America,Jamaica,2020-06-11,605,0,10,0,204.312,0.0,3.377,0.0,,,,,,,,,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7
JPN,Asia,Japan,2020-06-11,17292,41,920,1,136.721,0.324,7.274,0.008,,,,,,,,,126476458.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05
JEY,Europe,Jersey,2020-06-11,313,0,30,0,3096.772,0.0,296.815,0.0,,,,,,,,,101073.0,,,,,,,,,,,,
JOR,Asia,Jordan,2020-06-11,863,18,9,0,84.582,1.764,0.882,0.0,,,,,,,,,10203140.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4
KAZ,Asia,Kazakhstan,2020-06-11,13558,239,67,6,722.065,12.729,3.568,0.32,1050098.0,26681.0,55.926,1.421,22571.0,1.202,tests performed,,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7
